"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"1"	"Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)"	"1"	1.39939350772162e-08	1.17959208434543e-05	0	0	8.11088977423639	146.68253632716	"EOMES;BRD3;NPM1;FOXD2;BCL11A;TET2;PTEN;HMGA2;NFKB1;ASXL1;MLLT10;TFDP2;NFIC;CTNNB1;TP53"
"2"	"Regulation of Cellular Senescence (GO:2000772)"	"2"	2.70548643198493e-08	1.17959208434543e-05	0	0	71.9389901823282	1253.56560908331	"CDK6;AKT3;PTEN;HMGA2;TP53"
"3"	"Positive Regulation of DNA-templated Transcription (GO:0045893)"	"3"	5.26516964173734e-08	1.53040930919832e-05	0	0	6.83584738243123	114.565844793171	"EOMES;BRD3;NPM1;FOXD2;BCL11A;TET2;PTEN;HMGA2;NFKB1;ASXL1;MLLT10;ELF2;TFDP2;NFIC;CTNNB1;TP53"
"4"	"Negative Regulation of Cellular Senescence (GO:2000773)"	"4"	9.93753801691998e-08	2.16638328768856e-05	0	0	124.826747720365	2012.75159742029	"CDK6;AKT3;PTEN;HMGA2"
"5"	"Regulation of Transcription by RNA Polymerase II (GO:0006357)"	"5"	2.32357660656542e-07	4.05231760185009e-05	0	0	5.13121090730199	78.3791850941694	"EOMES;BRD3;NPM1;FOXD2;BCL11A;TET2;PTEN;HMGA2;NFKB1;FOXP1;ASXL1;MLLT10;NCOR1;ELF2;TFDP2;RAD21;NFIC;CTNNB1;LCORL;TP53"
"6"	"Regulation of Apoptotic Process (GO:0042981)"	"6"	1.18796387446558e-06	0.000172650749755665	0	0	7.6837323943662	104.831233713839	"NPM1;APC;AKT3;CTNNB1;HMGA2;RICTOR;SKP2;FBXO11;LRP8;TP53;NFKB1"
"7"	"Negative Regulation of Cellular Process (GO:0048523)"	"7"	7.23471744722404e-06	0.000901239087711338	0	0	7.92461050963824	93.8005973248927	"NPM1;CDKN1B;CDK6;APC;AKT3;PTEN;CTNNB1;HMGA2;TP53"
"8"	"Regulation of DNA-templated Transcription (GO:0006355)"	"8"	1.03687111979003e-05	0.00113018952057113	0	0	4.26088971269694	48.9010289170499	"EOMES;BRD3;NPM1;FOXD2;BCL11A;HMGA2;NFKB1;FOXP1;MLLT10;NCOR1;ELF2;TFDP2;RAD21;NFIC;CTNNB1;LCORL;TP53"
"9"	"Negative Regulation of Cell Population Proliferation (GO:0008285)"	"9"	4.66736827594714e-05	0.00427427233384195	0	0	8.37615713268455	83.5298038168414	"NPM1;CDKN1B;CDK6;APC;PTEN;CTNNB1;TP53"
"10"	"Negative Regulation of DNA-templated Transcription (GO:0045892)"	"10"	4.90168845624077e-05	0.00427427233384195	0	0	5.06592627599244	50.270937911292	"EOMES;NCOR1;ELF2;TFDP2;BCL11A;NFIC;CTNNB1;HMGA2;TP53;NFKB1;FOXP1"
