"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"1"	"Regulation of Gene Expression (GO:0010468)"	"1"	2.26200656854573e-11	3.18942926164949e-08	0	0	4.66843757546486	114.43359963495	"PLAG1;LEF1;ZBTB20;PIK3CD;FBLN1;NR3C1;EFEMP1;ITGB8;SOX9;IGF2BP2;MEF2C;TGFB2;KDM4B;SMAD3;ZBTB38;INSR;FN1;SMARCA5;HMGA2;ESR1;POU3F3;BMP6;BMP2;RYBP;CDK6;SMO;BCL6;FUBP3;ZFAT;ZNF638;SNAI2;CCDC3;EZH2"
"2"	"Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)"	"2"	1.36859363247817e-10	9.64858510897107e-08	0	0	8.04894638570285	182.808211708329	"MEF2C;TGFB2;SMAD3;IRS1;INSR;LEF1;FN1;HMGA2;PIK3CD;FBLN1;POU3F3;BMP6;SMOC2;BMP2;SMO;FUBP3;ITGB8;SOX9"
"3"	"Skeletal System Development (GO:0001501)"	"3"	5.4059109964533e-10	2.54077816833305e-07	0	0	11.8222610722611	252.267638491759	"TGFB2;DLX5;HHIP;NPR3;PCSK5;BMP6;GLI2;ACAN;BMP2;ITGB8;SOX9;MATN3;FBN1"
"4"	"Positive Regulation of DNA-templated Transcription (GO:0045893)"	"4"	2.74844914178871e-09	7.86317918138448e-07	0	0	3.88942990464597	76.6693330873528	"DLX5;PLAG1;SATB2;LEF1;NR3C1;GLI2;SALL1;ZMIZ1;CYTL1;SOX9;TEAD1;MEF2C;TGFB2;SMAD3;PCGF5;ZBTB38;TET2;SMARCA5;HMGA2;NFATC1;ESR1;POU3F3;BMP6;NFATC4;BMP2;RYBP;SMO;FUBP3;BAMBI;NFIC;ERG;SSBP3"
"5"	"Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)"	"5"	2.78836141183847e-09	7.86317918138448e-07	0	0	4.29376892028254	84.577851766197	"DLX5;PLAG1;SATB2;LEF1;NR3C1;GLI2;SALL1;ZMIZ1;CYTL1;SOX9;TEAD1;MEF2C;SMAD3;PCGF5;ZBTB38;TET2;SMARCA5;HMGA2;NFATC1;ESR1;BMP6;NFATC4;BMP2;SMO;FUBP3;NFIC;ERG;SSBP3"
"6"	"Mesenchymal Cell Differentiation (GO:0048762)"	"6"	1.89320480726477e-08	4.44903129707222e-06	0	0	20.7955124936257	369.794322785298	"MEF2C;TGFB2;BMP2;LEF1;FBXL17;HMGA2;SNAI2;SOX9"
"7"	"Negative Regulation of DNA-templated Transcription (GO:0045892)"	"7"	3.24994225212197e-08	6.54631225070283e-06	0	0	3.89700040173191	67.1922505098812	"LEF1;ZBTB20;NR3C1;GLI2;SALL1;SCMH1;SOX9;JAZF1;HEXIM1;MEF2C;SMAD3;PTCH1;ZBTB38;DNMT3A;HMGA2;ESR1;POU3F3;BMP6;ETV6;NFATC4;BMP2;RYBP;BCL6;NFIC;ID4;SNAI2;EZH2"
"8"	"Regulation of Transcription by RNA Polymerase II (GO:0006357)"	"8"	4.56035550469342e-08	8.03762657702214e-06	0	0	2.94509921967259	49.7818372147463	"DLX5;PLAG1;SATB2;LEF1;ZBTB20;NR3C1;GLI2;SALL1;ZMIZ1;CYTL1;SOX9;TEAD1;JAZF1;HEXIM1;MEF2C;SMAD3;PCGF5;PTCH1;ZBTB38;DNMT3A;EBF1;TET2;SMARCA5;HMGA2;NFATC1;ESR1;POU3F3;BMP6;ETV6;NFATC4;BMP2;SMO;BCL6;FUBP3;NFIC;ID4;SNAI2;ERG;LCORL;SSBP3;ZNF354C;EZH2"
"9"	"Regulation of Osteoblast Differentiation (GO:0045667)"	"9"	5.7560337382095e-08	9.01778618986156e-06	0	0	14.0018344416418	233.416630244463	"FBN2;MEF2C;CDK6;BAMBI;PTCH1;CRIM1;SNAI2;SOX9;BMP6"
"10"	"Positive Regulation of Cell Migration (GO:0030335)"	"10"	6.50088840526247e-08	9.16625265142008e-06	0	0	6.44418097923609	106.643087773617	"DOCK5;TGFB2;INSR;LEF1;FN1;PIK3CD;FBLN1;IGF1R;SMOC2;BMP2;SMO;ENPP2;SNAI2;SOX9;EZH2"
"11"	"Circulatory System Development (GO:0072359)"	"11"	1.00133343808605e-07	1.28352740700121e-05	0	0	10.8706121575342	175.19908090704	"MEF2C;TGFB2;BMP2;SALL1;FN1;SOX9;PCSK5;BMP6;FBN1;GLI2"
