"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"1"	"Skeletal System Development (GO:0001501)"	"1"	1.77505291510882e-15	3.67080942844504e-12	0	0	13.5771812080537	461.148228751025	"TGFB2;COL27A1;PKDCC;HHIP;COL11A1;WNT5A;NPR3;IGF1;PCSK5;BMP6;BMP5;GLI2;ACAN;BMP2;TRPS1;GNAS;DYM;TRIP11;PITX1;SOX5"
"2"	"Regulation of Gene Expression (GO:0010468)"	"2"	4.16229246618389e-15	4.30381041003414e-12	0	0	4.64232774323221	153.72005413806	"KMT2E;L3MBTL3;BNC2;PRDM6;LEF1;WWC2;SPTY2D1;UBE2L3;EFEMP1;MYC;SUFU;SPIN1;ABL1;IGF2BP3;IGF2BP2;SLC38A2;SOX4;WNT4;ZNF462;MEF2C;TGFB2;KDM4B;ZBTB38;INSR;WNT5A;HMGA1;HMGA2;IGF1;ESR1;PML;BMP6;RBL2;SFRP4;BMP2;RYBP;CDK6;BCL6;ZFAT;FUBP1;SPRY2;CCDC3;HNRNPH3;BMPR1B;FGFR4;NFE2L2;EZH2"
"3"	"Negative Regulation of DNA-templated Transcription (GO:0045892)"	"3"	1.74804273982888e-13	1.20498412865537e-10	0	0	4.44615603426583	130.606320277435	"L3MBTL3;MAX;PRDM6;LEF1;WWC2;FOXO3;FOXO1;GLI2;LOXL2;NIPBL;TRPS1;MYC;SUFU;SCMH1;E2F7;SOX4;WNT4;SUZ12;TCF7L2;MEF2C;PTCH1;ZBTB38;WNT5A;HMGA1;HMGA2;ESR1;RUNX2;PML;BMP6;NFKBIA;RBL2;SKI;SFRP4;BMP2;DAB2;RYBP;BCL6;NFIC;ID4;CTNNB1;VGLL4;EZH2"
"4"	"Positive Regulation of DNA-templated Transcription (GO:0045893)"	"4"	4.7337596079073e-13	2.44735371728808e-10	0	0	4.01826471501928	114.033878190223	"KMT2E;MAX;LEF1;DOT1L;PTEN;NUCKS1;PIK3R1;FOXO3;MEOX2;FOXO1;GLI2;MED13;MYC;ZIC1;SPIN1;ABL1;E2F7;SOX4;WNT4;NCOA1;TCF7L2;MEF2C;TGFB2;JAG1;PRRX1;PCGF5;ZBTB38;WNT5A;TET2;HMGA1;HMGA2;IGF1;ESR1;RUNX2;BMP6;BMP5;NFKBIA;SKI;BMP2;DAB2;RYBP;NFIC;CTNNB1;BMPR1B;CREB5;NFE2L2"
"5"	"Regulation of Cell Population Proliferation (GO:0042127)"	"5"	2.40021733877885e-12	9.92729891318932e-10	0	0	4.84445605328458	129.61565899582	"IRS1;NPR3;WWC2;PTEN;IGF1R;GHR;CCND2;GRK5;MYC;SOX4;TCF7L2;TGFB2;JAG1;CDKN2C;IGFBP3;INSR;HMGA1;IGF1;SMAD6;PTPN14;PML;BMP6;BMP5;SKI;SFRP4;BMP2;CDK6;BCL6;DLC1;DLG5;FGF18;CTNNB1;FGFR4;EZH2"
"6"	"Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)"	"6"	3.29615077157993e-12	1.13607329927122e-09	0	0	4.26519900777991	112.764464891763	"MAX;LEF1;DOT1L;PTEN;NUCKS1;PIK3R1;FOXO3;MEOX2;FOXO1;GLI2;MED13;MYC;ABL1;E2F7;SOX4;NCOA1;TCF7L2;MEF2C;JAG1;PRRX1;PCGF5;ZBTB38;WNT5A;TET2;HMGA1;HMGA2;IGF1;ESR1;RUNX2;BMP6;BMP5;NFKBIA;SKI;BMP2;DAB2;NFIC;CTNNB1;BMPR1B;NFE2L2"
"7"	"Regulation of DNA-templated Transcription (GO:0006355)"	"7"	8.85527067199183e-12	2.61609996423987e-09	0	0	3.16287909920276	80.4952992571014	"BNC2;WWC2;MEOX2;GLI2;LOXL2;UBE2L3;EFEMP1;MED13;TRPS1;MYC;SUFU;SCMH1;ZIC1;SPIN1;PITX1;SOX4;SOX5;NCOA1;MEF2C;ZBTB38;WNT5A;RUNX2;RBL2;LCORL;VGLL2;VGLL4;CREB5;KMT2E;L3MBTL3;MAX;LEF1;FOXO3;SPTY2D1;FOXO1;ABL1;E2F7;WNT4;ZNF462;TCF7L2;PRRX1;PCGF5;INSR;HMGA1;HMGA2;IGF1;SMAD6;ESR1;PML;BMP2;RYBP;BCL6;ZFAT;FUBP1;NFIC;ID4;CTNNB1;MKX;NFE2L2;EZH2"
"8"	"Regulation of Transcription by RNA Polymerase II (GO:0006357)"	"8"	3.66701674576505e-11	8.6888176801841e-09	0	0	3.0139689578714	72.4228335945784	"PRDM6;WWC2;PTEN;NUCKS1;MEOX2;GLI2;LOXL2;NIPBL;MED13;TRPS1;MYC;SUFU;ZIC1;PITX1;SOX4;SOX5;NCOA1;MEF2C;ZBTB38;WNT5A;TET2;RUNX2;SFRP4;LCORL;VGLL2;CREB5;MAX;LEF1;DOT1L;PIK3R1;FOXO3;FOXO1;ABL1;E2F7;SUZ12;TCF7L2;JAG1;PRRX1;PCGF5;PTCH1;HMGA1;HMGA2;IGF1;SMAD6;ESR1;BMP6;BMP5;NFKBIA;SKI;BMP2;DAB2;BCL6;FUBP1;NFIC;ID4;CTNNB1;MKX;BMPR1B;NFE2L2;EZH2"
"9"	"Regulation of Osteoblast Differentiation (GO:0045667)"	"9"	3.98193859187642e-11	8.6888176801841e-09	0	0	14.9941460642228	359.059826330487	"MEF2C;PTCH1;PTEN;IGF1;SMAD6;RUNX2;BMP6;SKI;CDK6;SUFU;SMOC1;BMPR1B;WNT4"
"10"	"Mesenchymal Cell Differentiation (GO:0048762)"	"10"	4.20155593819347e-11	8.6888176801841e-09	0	0	21.3989473684211	511.284645135747	"MEF2C;TGFB2;BMP2;DLG5;WNT5A;LEF1;HMGA2;CTNNB1;IGF1;LOXL2;WNT4"
