go_id	original_term	simplified_term	group	theme	traits	best_adjp	genes
GO:0009891	Positive Regulation of Biosynthetic Process	Biosynthetic process (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	limb	0.0370989122137305	ESR1;INSR;SMAD3;ZBTB20
GO:0045596	Negative Regulation of Cell Differentiation	Cell differentiation (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	cortical+limb+trunk	3.84124193557053e-08	ASXL1;BAMBI;BMP2;BMP5;CDK6;CRIM1;EFEMP1;FBXO11;FOXO1;JAG1;NFKBIA;PTCH1;PTEN;SKI;SMAD3;SMAD6;SNAI2;SOX4;SOX9;SPRED1;SPRY2;SUFU;SUZ12;WNT5A
GO:0045597	Positive Regulation of Cell Differentiation	Cell differentiation (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	limb+trunk	1.64902746849752e-08	BAMBI;BMP2;BMP6;BMPR1B;BOC;CTNNB1;DAB2;EZH2;FBN2;IGF1;IGFBP3;LEF1;LOXL2;MEF2C;NBL1;PKDCC;RUNX2;SMAD3;SOX4;SOX5;SOX9;TCF7L2;TGFB2;WNT4
GO:0045595	Regulation of Cell Differentiation	Cell differentiation (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	trunk	0.0139098562632035	BCL6;CDK6;CTNNB1;LEF1;RUNX2;SMOC1;SUZ12;TRPS1
GO:0048523	Negative Regulation of Cellular Process	Cellular process (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	cortical+trunk	5.74367130369633e-07	AKT3;APC;BCL6;BMP2;BMP5;CDK6;CDKN1B;CDKN2C;CTNNB1;DLC1;DLG5;HMGA1;HMGA2;IGFBP3;MYC;NFKBIA;NPM1;PML;PTEN;PTPN14;SFRP4;SKI;SLIT3;SMAD6;SUZ12;TGFB2;TP53;VGLL4;WWC2
GO:0048522	Positive Regulation of Cellular Process	Cellular process (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	cortical+limb+trunk	0.000566928080531636	BAMBI;BMP2;BMP5;BMP6;CCND2;CDC42;CTNNB1;EZH2;FGF18;FGFR4;FN1;GHR;GRK5;IGF1;IGF1R;INSR;IRS1;LEF1;MYC;NFKB1;NPM1;POU3F3;PRKCA;PTEN;RICTOR;SOX4;SOX9;TEAD1;TGFB2;TP53
GO:0051094	Positive Regulation of Developmental Process	Developmental process (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	trunk	0.00489718916326242	BMP2;BMP5;BMPR1B;CTNNB1;DLG5;INSR;LEF1;NCOA1;SOX5;WNT5A
GO:0051241	Negative Regulation of Multicellular Organismal Process	Multicellular organismal process	Broad regulatory terms (low specificity)	Broad / low-specificity	limb+trunk	0.00196564061727062	ADAMTS5;BMP5;GNAS;LOXL2;MEF2C;NPR3;PTCH1;PTEN;PTPRG;SMAD3;SMAD6;SOX9;SPRED1;SPRY2;TLE3;WWC2
GO:0051240	Positive Regulation of Multicellular Organismal Process	Multicellular organismal process	Broad regulatory terms (low specificity)	Broad / low-specificity	cortical+limb+trunk	1.39242777736664e-05	APC;BAMBI;BMP2;BMPR1B;CTNNB1;DAB2;EZH2;GHR;GHSR;GNAS;GRB10;IGF1R;LEF1;LOXL2;MC4R;MFAP2;NCOA1;PIK3CD;PLEKHM1;PRKCA;SMAD3;SMO;SOX5;SOX9;TCF7L2;TGFB2;WNT5A
GO:0010648	Negative Regulation of Cell Communication	Signal transduction (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	trunk	0.0193528700156701	HHIP;IGFBP3;SOCS2
GO:0009968	Negative Regulation of Signal Transduction	Signal transduction (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	trunk	0.00026249957646909	BMP2;BMP5;FBXW8;GRB10;HHIP;IGFBP3;IRS1;PTCH1;SFRP4;SOCS2;SPRED1;SPRY2;SUFU;VGLL4
GO:0023057	Negative Regulation of Signaling	Signal transduction (general)	Broad regulatory terms (low specificity)	Broad / low-specificity	trunk	0.0285654818041261	HHIP;IGFBP3;SOCS2
