Trait	h2	SE_h2	Lambda_GC	Mean_chi2	Intercept	SE_Intercept	Ratio	SE_Ratio
FI	0.3726	0.0258	1.2865	1.4376	1.0123	0.012	0.0282	0.0275
IC	0.3166	0.0222	1.2431	1.3679	1.0145	0.0103	0.0393	0.0281
SA	0.4007	0.033	1.2966	1.4798	1.0176	0.0137	0.0367	0.0286
Average_Femur	0.4653	0.0286	1.3374	1.5505	1.0398	0.0131	0.0724	0.0237
Average_Forearm	0.436	0.0304	1.3101	1.5187	1.0325	0.014	0.0626	0.0271
Average_Humerus	0.4478	0.0294	1.3203	1.5308	1.031	0.0127	0.0584	0.024
Average_Tibia	0.4416	0.0289	1.3512	1.5782	1.0708	0.0157	0.1224	0.0272
Hip_width	0.391	0.0339	1.2865	1.455	1.0269	0.0148	0.0591	0.0326
Shoulder_Width	0.3356	0.0224	1.2597	1.3768	1.0161	0.0099	0.0428	0.0263
Torso_Length	0.3793	0.0264	1.2831	1.4314	1.0148	0.0119	0.0344	0.0275
New_Height	0.6557	0.0336	3.3096	7.957	1.5024	0.1092	0.0722	0.0157
