"trait1"	"trait2"	"n"
"1"	"cortical_grl"	"FI_grl"	57
"2"	"cortical_grl"	"IC_grl"	42
"3"	"cortical_grl"	"SA_grl"	59
"4"	"cortical_grl"	"femur_grl"	17
"5"	"cortical_grl"	"forearm_grl"	13
"6"	"cortical_grl"	"height_grl"	79
"7"	"cortical_grl"	"hip_grl"	20
"8"	"cortical_grl"	"humerus_grl"	12
"9"	"cortical_grl"	"shoulders_grl"	11
"10"	"cortical_grl"	"tibia_grl"	15
"11"	"cortical_grl"	"torso_grl"	11
"12"	"limb_grl"	"FI_grl"	21
"13"	"limb_grl"	"IC_grl"	18
"14"	"limb_grl"	"SA_grl"	29
"15"	"limb_grl"	"cortical_grl"	26
"16"	"limb_grl"	"femur_grl"	128
"17"	"limb_grl"	"forearm_grl"	102
"18"	"limb_grl"	"height_grl"	245
"19"	"limb_grl"	"hip_grl"	56
"20"	"limb_grl"	"humerus_grl"	104
"21"	"limb_grl"	"shoulders_grl"	39
"22"	"limb_grl"	"tibia_grl"	126
"23"	"limb_grl"	"torso_grl"	52
"24"	"limb_grl"	"trunk_grl"	174
"25"	"trunk_grl"	"FI_grl"	36
"26"	"trunk_grl"	"IC_grl"	27
"27"	"trunk_grl"	"SA_grl"	54
"28"	"trunk_grl"	"cortical_grl"	45
"29"	"trunk_grl"	"femur_grl"	103
"30"	"trunk_grl"	"forearm_grl"	85
"31"	"trunk_grl"	"height_grl"	365
"32"	"trunk_grl"	"hip_grl"	78
"33"	"trunk_grl"	"humerus_grl"	90
"34"	"trunk_grl"	"shoulders_grl"	46
"35"	"trunk_grl"	"tibia_grl"	103
"36"	"trunk_grl"	"torso_grl"	69
