p1 	p2      rg      se         z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
./../important_sumstats/avg_femur.sumstats.gz     ./../important_sumstats/avg_forearm.sumstats.gz  0.8320  0.0119   69.6680   0.0000e+00  0.4367     0.0304  1.0325     0.0140    0.8234       0.0120
./../important_sumstats/avg_femur.sumstats.gz     ./../important_sumstats/avg_humerus.sumstats.gz  0.8532  0.0114   74.9475   0.0000e+00  0.4479     0.0294  1.0310     0.0127    0.8264       0.0117
./../important_sumstats/avg_femur.sumstats.gz       ./../important_sumstats/avg_tibia.sumstats.gz  0.9086  0.0059  153.0071   0.0000e+00  0.4604     0.0291  1.0517     0.0133    0.9221       0.0124
./../important_sumstats/avg_femur.sumstats.gz       ./../important_sumstats/global_FI.sumstats.gz  0.1677  0.0325    5.1576   2.5010e-07  0.3725     0.0258  1.0123     0.0121    0.0942       0.0072
./../important_sumstats/avg_femur.sumstats.gz       ./../important_sumstats/global_IC.sumstats.gz  0.2170  0.0341    6.3695   1.8960e-10  0.3164     0.0223  1.0144     0.0104    0.0854       0.0069
./../important_sumstats/avg_femur.sumstats.gz       ./../important_sumstats/global_SA.sumstats.gz  0.1935  0.0334    5.7975   6.7307e-09  0.4003     0.0331  1.0180     0.0138    0.1343       0.0077
./../important_sumstats/avg_femur.sumstats.gz       ./../important_sumstats/hip_width.sumstats.gz  0.5744  0.0239   24.0624  6.1920e-128  0.3910     0.0339  1.0269     0.0148    0.4897       0.0099
./../important_sumstats/avg_femur.sumstats.gz  ./../important_sumstats/shoulder_width.sumstats.gz  0.4658  0.0274   16.9807   1.1403e-64  0.3356     0.0224  1.0161     0.0099    0.4196       0.0082
./../important_sumstats/avg_femur.sumstats.gz    ./../important_sumstats/torso_length.sumstats.gz  0.4932  0.0230   21.4271  7.4687e-102  0.3793     0.0264  1.0148     0.0119    0.4007       0.0092
./../important_sumstats/avg_forearm.sumstats.gz     ./../important_sumstats/avg_humerus.sumstats.gz  0.8064  0.0245  32.9178  1.2244e-237  0.4479     0.0294  1.0310     0.0127    0.7467       0.0115
./../important_sumstats/avg_forearm.sumstats.gz       ./../important_sumstats/avg_tibia.sumstats.gz  0.8727  0.0099  88.0531   0.0000e+00  0.4604     0.0291  1.0517     0.0133    0.8583       0.0123
./../important_sumstats/avg_forearm.sumstats.gz       ./../important_sumstats/global_FI.sumstats.gz  0.1550  0.0355   4.3632   1.2819e-05  0.3725     0.0258  1.0123     0.0121    0.0917       0.0073
./../important_sumstats/avg_forearm.sumstats.gz       ./../important_sumstats/global_IC.sumstats.gz  0.2077  0.0363   5.7211   1.0585e-08  0.3164     0.0223  1.0144     0.0104    0.0832       0.0070
./../important_sumstats/avg_forearm.sumstats.gz       ./../important_sumstats/global_SA.sumstats.gz  0.1954  0.0349   5.5931   2.2303e-08  0.4003     0.0331  1.0180     0.0138    0.1274       0.0078
./../important_sumstats/avg_forearm.sumstats.gz       ./../important_sumstats/hip_width.sumstats.gz  0.5773  0.0258  22.3412  1.4720e-110  0.3910     0.0339  1.0269     0.0148    0.4717       0.0108
./../important_sumstats/avg_forearm.sumstats.gz  ./../important_sumstats/shoulder_width.sumstats.gz  0.5249  0.0280  18.7560   1.7288e-78  0.3356     0.0224  1.0161     0.0099    0.4493       0.0085
./../important_sumstats/avg_forearm.sumstats.gz    ./../important_sumstats/torso_length.sumstats.gz  0.4991  0.0261  19.1018   2.4393e-81  0.3793     0.0264  1.0148     0.0119    0.3956       0.0094
./../important_sumstats/avg_humerus.sumstats.gz       ./../important_sumstats/avg_tibia.sumstats.gz  0.8111  0.0154  52.6397  0.0000e+00  0.4604     0.0291  1.0517     0.0133    0.7915       0.0114
./../important_sumstats/avg_humerus.sumstats.gz       ./../important_sumstats/global_FI.sumstats.gz  0.1227  0.0341   3.6041  3.1322e-04  0.3725     0.0258  1.0123     0.0121    0.0685       0.0070
./../important_sumstats/avg_humerus.sumstats.gz       ./../important_sumstats/global_IC.sumstats.gz  0.1635  0.0357   4.5743  4.7770e-06  0.3164     0.0223  1.0144     0.0104    0.0655       0.0067
./../important_sumstats/avg_humerus.sumstats.gz       ./../important_sumstats/global_SA.sumstats.gz  0.1446  0.0335   4.3176  1.5771e-05  0.4003     0.0331  1.0180     0.0138    0.0966       0.0075
./../important_sumstats/avg_humerus.sumstats.gz       ./../important_sumstats/hip_width.sumstats.gz  0.5130  0.0290  17.6708  7.0428e-70  0.3910     0.0339  1.0269     0.0148    0.4517       0.0089
./../important_sumstats/avg_humerus.sumstats.gz  ./../important_sumstats/shoulder_width.sumstats.gz  0.4849  0.0297  16.3066  8.8518e-60  0.3356     0.0224  1.0161     0.0099    0.3884       0.0076
./../important_sumstats/avg_humerus.sumstats.gz    ./../important_sumstats/torso_length.sumstats.gz  0.4630  0.0261  17.7352  2.2429e-70  0.3793     0.0264  1.0148     0.0119    0.3789       0.0085
./../important_sumstats/avg_tibia.sumstats.gz       ./../important_sumstats/global_FI.sumstats.gz  0.1634  0.0339   4.8239   1.4080e-06  0.3725     0.0258  1.0123     0.0121    0.0943       0.0073
./../important_sumstats/avg_tibia.sumstats.gz       ./../important_sumstats/global_IC.sumstats.gz  0.2103  0.0340   6.1802   6.4025e-10  0.3164     0.0223  1.0144     0.0104    0.0828       0.0071
./../important_sumstats/avg_tibia.sumstats.gz       ./../important_sumstats/global_SA.sumstats.gz  0.1958  0.0333   5.8733   4.2725e-09  0.4003     0.0331  1.0180     0.0138    0.1351       0.0078
./../important_sumstats/avg_tibia.sumstats.gz       ./../important_sumstats/hip_width.sumstats.gz  0.5613  0.0239  23.4774  6.9391e-122  0.3910     0.0339  1.0269     0.0148    0.4692       0.0093
./../important_sumstats/avg_tibia.sumstats.gz  ./../important_sumstats/shoulder_width.sumstats.gz  0.4700  0.0285  16.4902   4.3162e-61  0.3356     0.0224  1.0161     0.0099    0.4132       0.0083
./../important_sumstats/avg_tibia.sumstats.gz    ./../important_sumstats/torso_length.sumstats.gz  0.4957  0.0225  22.0444  1.0809e-107  0.3793     0.0264  1.0148     0.0119    0.3850       0.0086
./../important_sumstats/global_FI.sumstats.gz       ./../important_sumstats/global_IC.sumstats.gz  0.9306  0.0084  110.6529   0.0000e+00  0.3128     0.0223  1.0160     0.0098    0.7986       0.0096
./../important_sumstats/global_FI.sumstats.gz       ./../important_sumstats/global_SA.sumstats.gz  0.8545  0.0104   82.2798   0.0000e+00  0.3992     0.0320  1.0170     0.0129    0.8219       0.0109
./../important_sumstats/global_FI.sumstats.gz       ./../important_sumstats/hip_width.sumstats.gz  0.1571  0.0329    4.7786   1.7655e-06  0.3909     0.0339  1.0272     0.0149    0.0620       0.0067
./../important_sumstats/global_FI.sumstats.gz  ./../important_sumstats/shoulder_width.sumstats.gz  0.1404  0.0400    3.5047   4.5714e-04  0.3359     0.0224  1.0160     0.0100    0.0766       0.0067
./../important_sumstats/global_FI.sumstats.gz    ./../important_sumstats/torso_length.sumstats.gz  0.1077  0.0352    3.0595   2.2170e-03  0.3793     0.0264  1.0149     0.0119    0.0734       0.0064
./../important_sumstats/global_SA.sumstats.gz       ./../important_sumstats/hip_width.sumstats.gz  0.1726  0.0337  5.1184  3.0811e-07  0.3909     0.0339  1.0272     0.0149    0.0862       0.0070
./../important_sumstats/global_SA.sumstats.gz  ./../important_sumstats/shoulder_width.sumstats.gz  0.1897  0.0404  4.6976  2.6330e-06  0.3359     0.0224  1.0160     0.0100    0.1100       0.0072
./../important_sumstats/global_SA.sumstats.gz    ./../important_sumstats/torso_length.sumstats.gz  0.1655  0.0370  4.4725  7.7318e-06  0.3793     0.0264  1.0149     0.0119    0.0829       0.0068
./../new_GWAS_ldsc/new_height.sumstats.gz       ./../important_sumstats/avg_femur.sumstats.gz  0.8863  0.0123   72.1131   0.0000e+00  0.4625     0.0282  1.0409     0.0129    0.3234       0.0312
./../new_GWAS_ldsc/new_height.sumstats.gz     ./../important_sumstats/avg_forearm.sumstats.gz  0.8267  0.0152   54.4352   0.0000e+00  0.4323     0.0293  1.0340     0.0137    0.2832       0.0303
./../new_GWAS_ldsc/new_height.sumstats.gz     ./../important_sumstats/avg_humerus.sumstats.gz  0.7848  0.0171   45.8979   0.0000e+00  0.4455     0.0291  1.0317     0.0128    0.2699       0.0281
./../new_GWAS_ldsc/new_height.sumstats.gz       ./../important_sumstats/avg_tibia.sumstats.gz  0.8908  0.0137   64.9532   0.0000e+00  0.4576     0.0288  1.0526     0.0134    0.3220       0.0310
./../new_GWAS_ldsc/new_height.sumstats.gz       ./../important_sumstats/global_FI.sumstats.gz  0.1596  0.0232    6.8868   5.7080e-12  0.3688     0.0257  1.0152     0.0113    0.0548       0.0153
./../new_GWAS_ldsc/new_height.sumstats.gz       ./../important_sumstats/global_IC.sumstats.gz  0.1936  0.0233    8.2924   1.1099e-16  0.3130     0.0223  1.0164     0.0099    0.0417       0.0141
