"p1"	"p2"	"rg"	"se"	"z"	"p"	"h2_obs"	"h2_obs_se"	"h2_int"	"h2_int_se"	"gcov_int"	"gcov_int_se"
"Average_Femur"	"Average_Forearm"	0.832	0.0119	69.668	0	0.4367	0.0304	1.0325	0.014	0.8234	0.012
"Average_Femur"	"Average_Humerus"	0.8532	0.0114	74.9475	0	0.4479	0.0294	1.031	0.0127	0.8264	0.0117
"Average_Femur"	"Average_Tibia"	0.9086	0.0059	153.0071	0	0.4604	0.0291	1.0517	0.0133	0.9221	0.0124
"Average_Femur"	"FI"	0.1677	0.0325	5.1576	2.501e-07	0.3725	0.0258	1.0123	0.0121	0.0942	0.0072
"Average_Femur"	"IC"	0.217	0.0341	6.3695	1.896e-10	0.3164	0.0223	1.0144	0.0104	0.0854	0.0069
"Average_Femur"	"SA"	0.1935	0.0334	5.7975	6.7307e-09	0.4003	0.0331	1.018	0.0138	0.1343	0.0077
"Average_Femur"	"Hip_width"	0.5744	0.0239	24.0624	6.192e-128	0.391	0.0339	1.0269	0.0148	0.4897	0.0099
"Average_Femur"	"Shoulder_Width"	0.4658	0.0274	16.9807	1.1403e-64	0.3356	0.0224	1.0161	0.0099	0.4196	0.0082
"Average_Femur"	"Torso_Length"	0.4932	0.023	21.4271	7.4687e-102	0.3793	0.0264	1.0148	0.0119	0.4007	0.0092
"Average_Forearm"	"Average_Humerus"	0.8064	0.0245	32.9178	1.2244e-237	0.4479	0.0294	1.031	0.0127	0.7467	0.0115
"Average_Forearm"	"Average_Tibia"	0.8727	0.0099	88.0531	0	0.4604	0.0291	1.0517	0.0133	0.8583	0.0123
"Average_Forearm"	"FI"	0.155	0.0355	4.3632	1.2819e-05	0.3725	0.0258	1.0123	0.0121	0.0917	0.0073
"Average_Forearm"	"IC"	0.2077	0.0363	5.7211	1.0585e-08	0.3164	0.0223	1.0144	0.0104	0.0832	0.007
"Average_Forearm"	"SA"	0.1954	0.0349	5.5931	2.2303e-08	0.4003	0.0331	1.018	0.0138	0.1274	0.0078
