p1                                                                      p2      rg      se         z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
./trunk_munged.sumstats.gz                                               ./limb_munged.sumstats.gz  0.6914  0.0153   45.0749   0.0000e+00  1.1551     0.0655  0.9386     0.0208   -0.1826       0.0197
./trunk_munged.sumstats.gz                                           ./cortical_munged.sumstats.gz  0.1908  0.0291    6.5554   5.5486e-11  1.1310     0.0827  0.9810     0.0124    0.0432       0.0090
./trunk_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/avg_femur.sumstats.gz  0.6783  0.0185   36.7020  6.7910e-295  0.4648     0.0282  1.0403     0.0129   -0.0670       0.0153
./trunk_munged.sumstats.gz     ./../../../ldsc_analyses/important_sumstats/avg_forearm.sumstats.gz  0.6520  0.0207   31.4295  8.0030e-217  0.4337     0.0297  1.0337     0.0139   -0.0486       0.0154
./trunk_munged.sumstats.gz     ./../../../ldsc_analyses/important_sumstats/avg_humerus.sumstats.gz  0.5970  0.0238   25.0951  5.6308e-139  0.4462     0.0293  1.0318     0.0128   -0.0803       0.0140
./trunk_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/avg_tibia.sumstats.gz  0.6791  0.0198   34.3753  5.8977e-259  0.4602     0.0289  1.0520     0.0132   -0.0885       0.0148
./trunk_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/global_FI.sumstats.gz  0.1515  0.0292    5.1794   2.2255e-07  0.3728     0.0255  1.0123     0.0118    0.0403       0.0086
./trunk_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/global_IC.sumstats.gz  0.1856  0.0278    6.6784   2.4149e-11  0.3158     0.0217  1.0150     0.0105    0.0344       0.0079
./trunk_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/global_SA.sumstats.gz  0.2088  0.0302    6.9240   4.3914e-12  0.4023     0.0320  1.0165     0.0137    0.0466       0.0100
./trunk_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/hip_width.sumstats.gz  0.8142  0.0141   57.7331   0.0000e+00  0.3855     0.0310  1.0297     0.0137    0.5159       0.0170
./trunk_munged.sumstats.gz  ./../../../ldsc_analyses/important_sumstats/shoulder_width.sumstats.gz  0.6970  0.0189   36.8505  2.8721e-297  0.3358     0.0231  1.0160     0.0102    0.4316       0.0136
./trunk_munged.sumstats.gz    ./../../../ldsc_analyses/important_sumstats/torso_length.sumstats.gz  0.8940  0.0105   85.2578   0.0000e+00  0.3771     0.0257  1.0159     0.0116    0.5568       0.0163
./trunk_munged.sumstats.gz      ./../../../ldsc_analyses/important_sumstats/new_height.sumstats.gz  0.8969  0.0060  148.8068   0.0000e+00  0.6591     0.0342  1.5058     0.1173    0.6352       0.0525
./limb_munged.sumstats.gz                                           ./cortical_munged.sumstats.gz  0.1902  0.0298    6.3876   1.6851e-10  1.1310     0.0827  0.9810     0.0124    0.0933       0.0084
./limb_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/avg_femur.sumstats.gz  0.9613  0.0031  314.8467   0.0000e+00  0.4648     0.0282  1.0403     0.0129    0.8920       0.0155
./limb_munged.sumstats.gz     ./../../../ldsc_analyses/important_sumstats/avg_forearm.sumstats.gz  0.9126  0.0077  118.5951   0.0000e+00  0.4337     0.0297  1.0337     0.0139    0.8405       0.0155
./limb_munged.sumstats.gz     ./../../../ldsc_analyses/important_sumstats/avg_humerus.sumstats.gz  0.8964  0.0090   99.9313   0.0000e+00  0.4462     0.0293  1.0318     0.0128    0.8295       0.0146
./limb_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/avg_tibia.sumstats.gz  0.9622  0.0033  287.5988   0.0000e+00  0.4602     0.0289  1.0520     0.0132    0.9009       0.0157
./limb_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/global_FI.sumstats.gz  0.1561  0.0298    5.2374   1.6286e-07  0.3728     0.0255  1.0123     0.0118    0.0782       0.0082
./limb_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/global_IC.sumstats.gz  0.1971  0.0299    6.5848   4.5554e-11  0.3158     0.0217  1.0150     0.0105    0.0702       0.0075
./limb_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/global_SA.sumstats.gz  0.1937  0.0296    6.5520   5.6777e-11  0.4023     0.0320  1.0165     0.0137    0.1127       0.0090
./limb_munged.sumstats.gz       ./../../../ldsc_analyses/important_sumstats/hip_width.sumstats.gz  0.5529  0.0213   25.9301  3.0460e-148  0.3855     0.0310  1.0297     0.0137    0.3057       0.0113
